Track Name,Race Number,Race URL,Race Time
HATRICK (NZL),3,https://swiftbet.com.au//racing/greyhounds/hatrick/race-3-1902955-1083016,Race Completed
HATRICK (NZL),4,https://swiftbet.com.au//racing/greyhounds/hatrick/race-4-1902956-1083016,Race Completed
HATRICK (NZL),5,https://swiftbet.com.au//racing/greyhounds/hatrick/race-5-1902957-1083016,Race Completed
HATRICK (NZL),6,https://swiftbet.com.au//racing/greyhounds/hatrick/race-6-1902958-1083016,Race Completed
HATRICK (NZL),7,https://swiftbet.com.au//racing/greyhounds/hatrick/race-7-1902959-1083016,Race Completed
HATRICK (NZL),8,https://swiftbet.com.au//racing/greyhounds/hatrick/race-8-1902960-1083016,Race Completed
HATRICK (NZL),9,https://swiftbet.com.au//racing/greyhounds/hatrick/race-9-1902961-1083016,Race Completed
HATRICK (NZL),10,https://swiftbet.com.au//racing/greyhounds/hatrick/race-10-1902962-1083016,Race Completed
HATRICK (NZL),11,https://swiftbet.com.au//racing/greyhounds/hatrick/race-11-1902964-1083016,Race Completed
HATRICK (NZL),12,https://swiftbet.com.au//racing/greyhounds/hatrick/race-12-1902966-1083016,Race Completed
ALBION PARK (QLD),1,https://swiftbet.com.au//racing/harness/albion-park/race-1-1901957-1082952,Race Completed
ALBION PARK (QLD),2,https://swiftbet.com.au//racing/harness/albion-park/race-2-1901963-1082952,Race Completed
ALBION PARK (QLD),3,https://swiftbet.com.au//racing/harness/albion-park/race-3-1901973-1082952,Race Completed
ALBION PARK (QLD),4,https://swiftbet.com.au//racing/harness/albion-park/race-4-1901980-1082952,Race Completed
ALBION PARK (QLD),5,https://swiftbet.com.au//racing/harness/albion-park/race-5-1901986-1082952,Race Completed
ALBION PARK (QLD),6,https://swiftbet.com.au//racing/harness/albion-park/race-6-1901991-1082952,Race Completed
ALBION PARK (QLD),7,https://swiftbet.com.au//racing/harness/albion-park/race-7-1901993-1082952,Race Completed
ALBION PARK (QLD),8,https://swiftbet.com.au//racing/harness/albion-park/race-8-1901997-1082952,3m 37s
GLOUCESTER PARK (WA),1,https://swiftbet.com.au//racing/harness/gloucester-park/race-1-1901961-1082955,Race Completed
GLOUCESTER PARK (WA),2,https://swiftbet.com.au//racing/harness/gloucester-park/race-2-1901969-1082955,Race Completed
GLOUCESTER PARK (WA),3,https://swiftbet.com.au//racing/harness/gloucester-park/race-3-1901977-1082955,Race Completed
GLOUCESTER PARK (WA),4,https://swiftbet.com.au//racing/harness/gloucester-park/race-4-1901985-1082955,Race Completed
GLOUCESTER PARK (WA),5,https://swiftbet.com.au//racing/harness/gloucester-park/race-5-1901992-1082955,Race Completed
GLOUCESTER PARK (WA),6,https://swiftbet.com.au//racing/harness/gloucester-park/race-6-1901996-1082955,13m
GLOUCESTER PARK (WA),7,https://swiftbet.com.au//racing/harness/gloucester-park/race-7-1902000-1082955,38m
GLOUCESTER PARK (WA),8,https://swiftbet.com.au//racing/harness/gloucester-park/race-8-1902002-1082955,1h 3m
GLOUCESTER PARK (WA),9,https://swiftbet.com.au//racing/harness/gloucester-park/race-9-1902008-1082955,1h 33m
GLOUCESTER PARK (WA),10,https://swiftbet.com.au//racing/harness/gloucester-park/race-10-1902010-1082955,2h 8m
GEELONG (VIC),1,https://swiftbet.com.au//racing/harness/geelong/race-1-1901587-1082914,Race Completed
GEELONG (VIC),2,https://swiftbet.com.au//racing/harness/geelong/race-2-1901595-1082914,Race Completed
GEELONG (VIC),3,https://swiftbet.com.au//racing/harness/geelong/race-3-1901600-1082914,Race Completed
GEELONG (VIC),4,https://swiftbet.com.au//racing/harness/geelong/race-4-1901609-1082914,Race Completed
GEELONG (VIC),5,https://swiftbet.com.au//racing/harness/geelong/race-5-1901619-1082914,Race Completed
GEELONG (VIC),6,https://swiftbet.com.au//racing/harness/geelong/race-6-1901627-1082914,Race Completed
GEELONG (VIC),7,https://swiftbet.com.au//racing/harness/geelong/race-7-1901634-1082914,Race Completed
GEELONG (VIC),8,https://swiftbet.com.au//racing/harness/geelong/race-8-1901641-1082914,Race Completed
SWAN HILL (VIC),1,https://swiftbet.com.au//racing/harness/swan-hill/race-1-1901592-1082918,Race Completed
SWAN HILL (VIC),2,https://swiftbet.com.au//racing/harness/swan-hill/race-2-1901603-1082918,Race Completed
SWAN HILL (VIC),3,https://swiftbet.com.au//racing/harness/swan-hill/race-3-1901611-1082918,Race Completed
SWAN HILL (VIC),4,https://swiftbet.com.au//racing/harness/swan-hill/race-4-1901617-1082918,Race Completed
SWAN HILL (VIC),5,https://swiftbet.com.au//racing/harness/swan-hill/race-5-1901623-1082918,Race Completed
