Track Name,Race Number,Race URL,Race Start
HOME HILL (QLD),6,https://swiftbet.com.au//racing/gallops/home-hill/race-6-1904427-1083147,18h 16m
YEPPOON (QLD),1,https://swiftbet.com.au//racing/gallops/yeppoon/race-1-1904332-1083150,14h 34m
YEPPOON (QLD),2,https://swiftbet.com.au//racing/gallops/yeppoon/race-2-1904354-1083150,15h 14m
YEPPOON (QLD),3,https://swiftbet.com.au//racing/gallops/yeppoon/race-3-1904377-1083150,15h 54m
YEPPOON (QLD),4,https://swiftbet.com.au//racing/gallops/yeppoon/race-4-1904392-1083150,16h 34m
YEPPOON (QLD),5,https://swiftbet.com.au//racing/gallops/yeppoon/race-5-1904407-1083150,17h 14m
TRENTHAM (NZL),1,https://swiftbet.com.au//racing/gallops/trentham/race-1-1902805-1083001,10h 30m
TRENTHAM (NZL),2,https://swiftbet.com.au//racing/gallops/trentham/race-2-1902811-1083001,11h 6m
TRENTHAM (NZL),3,https://swiftbet.com.au//racing/gallops/trentham/race-3-1902817-1083001,11h 38m
TRENTHAM (NZL),4,https://swiftbet.com.au//racing/gallops/trentham/race-4-1902826-1083001,12h 8m
TRENTHAM (NZL),5,https://swiftbet.com.au//racing/gallops/trentham/race-5-1902833-1083001,12h 41m
TRENTHAM (NZL),6,https://swiftbet.com.au//racing/gallops/trentham/race-6-1902848-1083001,13h 19m
TRENTHAM (NZL),7,https://swiftbet.com.au//racing/gallops/trentham/race-7-1902859-1083001,13h 59m
TRENTHAM (NZL),8,https://swiftbet.com.au//racing/gallops/trentham/race-8-1902870-1083001,14h 39m
NEWCASTLE (NSW),1,https://swiftbet.com.au//racing/gallops/newcastle/race-1-1904197-1083128,13h 9m
NEWCASTLE (NSW),2,https://swiftbet.com.au//racing/gallops/newcastle/race-2-1904199-1083128,13h 49m
NEWCASTLE (NSW),3,https://swiftbet.com.au//racing/gallops/newcastle/race-3-1904203-1083128,14h 29m
NEWCASTLE (NSW),4,https://swiftbet.com.au//racing/gallops/newcastle/race-4-1904206-1083128,15h 9m
NEWCASTLE (NSW),5,https://swiftbet.com.au//racing/gallops/newcastle/race-5-1904207-1083128,15h 49m
NEWCASTLE (NSW),6,https://swiftbet.com.au//racing/gallops/newcastle/race-6-1904209-1083128,16h 29m
NEWCASTLE (NSW),7,https://swiftbet.com.au//racing/gallops/newcastle/race-7-1904211-1083128,17h 9m
NEWCASTLE (NSW),8,https://swiftbet.com.au//racing/gallops/newcastle/race-8-1904213-1083128,17h 49m
GOLD COAST (QLD),1,https://swiftbet.com.au//racing/gallops/gold-coast/race-1-1904299-1083140,14h 33m
GOLD COAST (QLD),2,https://swiftbet.com.au//racing/gallops/gold-coast/race-2-1904314-1083140,15h 13m
GOLD COAST (QLD),3,https://swiftbet.com.au//racing/gallops/gold-coast/race-3-1904334-1083140,15h 53m
GOLD COAST (QLD),4,https://swiftbet.com.au//racing/gallops/gold-coast/race-4-1904364-1083140,16h 33m
GOLD COAST (QLD),5,https://swiftbet.com.au//racing/gallops/gold-coast/race-5-1904393-1083140,17h 13m
GOLD COAST (QLD),6,https://swiftbet.com.au//racing/gallops/gold-coast/race-6-1904411-1083140,17h 53m
GOLD COAST (QLD),7,https://swiftbet.com.au//racing/gallops/gold-coast/race-7-1904430-1083140,18h 26m
TOOWOOMBA (QLD),1,https://swiftbet.com.au//racing/gallops/toowoomba/race-1-1904374-1083157,19h 4m
TOOWOOMBA (QLD),2,https://swiftbet.com.au//racing/gallops/toowoomba/race-2-1904399-1083157,19h 42m
TOOWOOMBA (QLD),3,https://swiftbet.com.au//racing/gallops/toowoomba/race-3-1904412-1083157,20h 16m
TOOWOOMBA (QLD),4,https://swiftbet.com.au//racing/gallops/toowoomba/race-4-1904425-1083157,20h 54m
TOOWOOMBA (QLD),5,https://swiftbet.com.au//racing/gallops/toowoomba/race-5-1904435-1083157,21h 29m
TOOWOOMBA (QLD),6,https://swiftbet.com.au//racing/gallops/toowoomba/race-6-1904443-1083157,22h 1m
TOOWOOMBA (QLD),7,https://swiftbet.com.au//racing/gallops/toowoomba/race-7-1904449-1083157,22h 37m
KALGOORLIE (WA),1,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-1-1903095-1083031,16h 26m
KALGOORLIE (WA),2,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-2-1903096-1083031,17h 10m
KALGOORLIE (WA),3,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-3-1903097-1083031,17h 46m
KALGOORLIE (WA),4,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-4-1903098-1083031,18h 24m
